class,AP50,Precision,Recall,river,seed
all,0.2219896380413222,0.4715099715098875,0.46992014196974796,combined,42
Coho,0.5467566866374186,0.5940209267561751,0.9194817214252661,combined,42
Bull,0.05868833036676629,0.6749999999831251,0.06338028169014084,combined,42
Rainbow,0.000733406673991679,0.017341040462327508,0.012145748987854251,combined,42
Sockeye,0.0,0.0,0.0,combined,42
Pink,0.16179430187511742,0.23708920187737773,0.6558441558441559,combined,42
Whitefish,0.012230634828128747,0.09767441860419687,0.11602209944751381,combined,42
Chinook,0.11374394130900413,0.2785714285704337,0.3804878048780488,combined,42
Shiner,0.059141914190573186,0.9358974358854372,0.05055401662049862,combined,42
Pikeminnow,0.7928077189233216,0.6287878787862909,0.8892857142857142,combined,42
Chum,0.0,0.0,0.0,combined,42
Steelhead,0.0,0.0,0.0,combined,42
Lamprey,0.8372055225485292,0.8673469387666597,0.85,combined,42
Cutthroat,0.52475247522566,0.9999999999583333,0.5217391304347826,combined,42
Jack_Chinook,0.0,0.0,0.0,combined,42
all,0.21662325464950133,0.4672698243745844,0.46652497343243593,combined,123
Coho,0.5485670207977019,0.5896520963423759,0.9218967921896792,combined,123
Bull,0.042486082220912755,0.6060606060422407,0.04291845493562232,combined,123
Rainbow,0.0001800180017985435,0.012499999999921876,0.007575757575757576,combined,123
Sockeye,0.0,0.0,0.0,combined,123
Pink,0.12048949453773668,0.18480492813103735,0.5960264900662252,combined,123
Whitefish,0.0318437249128884,0.14718614718551,0.20359281437125748,combined,123
Chinook,0.12617915334790894,0.3242187499987335,0.38967136150234744,combined,123
Shiner,0.049337137102655824,0.9402985074486522,0.04387186629526462,combined,123
Pikeminnow,0.7729281256120297,0.6218905472621347,0.9191176470588235,combined,123
Chum,0.0,0.0,0.0,combined,123
Steelhead,0.0,0.0,0.0,combined,123
Lamprey,0.829823719486059,0.8762886597847805,0.8415841584158416,combined,123
Cutthroat,0.5108910890733267,0.9599999999616,0.5217391304347826,combined,123
Jack_Chinook,0.0,0.0,0.0,combined,123
all,0.2186926583066798,0.4585121602288164,0.4583482302466109,combined,456
Coho,0.5411930125769547,0.5829039102756645,0.9227447216890595,combined,456
Bull,0.03226989365254607,0.5517241379120095,0.03547671840354767,combined,456
Rainbow,0.004144600506514091,0.055555555555212625,0.03180212014134275,combined,456
Sockeye,0.0,0.0,0.0,combined,456
Pink,0.15040296412985127,0.1992110453644986,0.6601307189542484,combined,456
Whitefish,0.02025408020244832,0.12227074235754468,0.15819209039548024,combined,456
Chinook,0.1502049428022378,0.33212996389771793,0.4200913242009132,combined,456
Shiner,0.04934263918108412,0.8947368420934902,0.047386759581881537,combined,456
Pikeminnow,0.7407465264307522,0.6178160919522476,0.8565737051792829,combined,456
Chum,0.0,0.0,0.0,combined,456
Steelhead,0.0,0.0,0.0,combined,456
Lamprey,0.8483860815854688,0.8979591836643065,0.8627450980392157,combined,456
Cutthroat,0.52475247522566,0.9999999999583333,0.5217391304347826,combined,456
Jack_Chinook,0.0,0.0,0.0,combined,456
all,0.10567581471116966,0.5072567640206939,0.5016835016834127,kitwanga,42
Coho,0.5937788695449848,0.6011904761903385,0.9898228420655861,kitwanga,42
Bull,0.03755168236345357,0.4772727272618802,0.04719101123595506,kitwanga,42
Rainbow,0.0,0.0,0.0,kitwanga,42
Sockeye,0.0,0.0,0.0,kitwanga,42
Pink,0.12168016359022674,0.18354430379708114,0.5958904109589042,kitwanga,42
Whitefish,0.002956029345064819,0.034482758620541024,0.07339449541284404,kitwanga,42
Chinook,0.4064672169791365,0.8725490195992887,0.42788461538461536,kitwanga,42
Shiner,0.0,0.0,0.0,kitwanga,42
Pikeminnow,0.0,0.0,0.0,kitwanga,42
Chum,0.0,0.0,0.0,kitwanga,42
Steelhead,0.0,0.0,0.0,kitwanga,42
all,0.10649370353695047,0.4967250840855909,0.4948853615519409,kitwanga,123
Coho,0.5902160667504444,0.59669649002051,0.9889733840304182,kitwanga,123
Bull,0.03241293956589315,0.562499999982422,0.03543307086614173,kitwanga,123
Rainbow,0.0,0.0,0.0,kitwanga,123
Sockeye,0.0,0.0,0.0,kitwanga,123
Pink,0.13639586178462534,0.1745454545451372,0.6442953020134228,kitwanga,123
Whitefish,0.010414969506043705,0.06837606837577617,0.1415929203539823,kitwanga,123
Chinook,0.4019909012994485,0.8620689655073325,0.423728813559322,kitwanga,123
Shiner,0.0,0.0,0.0,kitwanga,123
Pikeminnow,0.0,0.0,0.0,kitwanga,123
Chum,0.0,0.0,0.0,kitwanga,123
Steelhead,0.0,0.0,0.0,kitwanga,123
all,0.10537479025420166,0.49533548618577405,0.4909317211947918,kitwanga,456
Coho,0.5897776037536389,0.5948777648427019,0.986105750675415,kitwanga,456
Bull,0.04161318157843932,0.54999999998625,0.043478260869565216,kitwanga,456
Rainbow,0.0,0.0,0.0,kitwanga,456
Sockeye,0.0,0.0,0.0,kitwanga,456
Pink,0.1131741952038,0.14981273408211646,0.583941605839416,kitwanga,456
Whitefish,0.007206001416211297,0.05394190871346912,0.11818181818181818,kitwanga,456
Chinook,0.4073517108441288,0.8921568627363514,0.4232558139534884,kitwanga,456
Shiner,0.0,0.0,0.0,kitwanga,456
Pikeminnow,0.0,0.0,0.0,kitwanga,456
Chum,0.0,0.0,0.0,kitwanga,456
Steelhead,0.0,0.0,0.0,kitwanga,456
all,0.30346266626522306,0.34776655827479924,0.35605396881017065,bear,42
Coho,0.04666763576729995,0.28837209302280875,0.15630252100840336,bear,42
Bull,0.999999999982143,0.9180327868701962,1.0,bear,42
Rainbow,0.014547446768441934,0.1259541984728017,0.047345767575322814,bear,42
Sockeye,0.0,0.0,0.0,bear,42
Pink,0.1402819629781442,0.1783783783774142,0.7857142857142857,bear,42
Whitefish,0.17672134860294733,0.7522123893738742,0.17276422764227642,bear,42
Chinook,0.1201172543383922,0.1301229508195388,0.5825688073394495,bear,42
Shiner,0.32488775956407406,0.9312499999980599,0.32227829848594086,bear,42
Pikeminnow,0.7838838826156811,0.6583333333328761,0.8876404494382022,bear,42
Chum,0.0,0.0,0.0,bear,42
Steelhead,0.0,0.0,0.0,bear,42
Lamprey,0.824640044130731,0.8454545454468595,0.8454545454545455,bear,42
Cutthroat,0.5132673267000454,0.9599999999616,0.5217391304347826,bear,42
all,0.3048242355962704,0.35519591141390877,0.36223071577478066,bear,123
Coho,0.04934354161749847,0.27538461538419173,0.1524701873935264,bear,123
Bull,0.999999999982143,0.9655172413626636,1.0,bear,123
Rainbow,0.009378804546957567,0.09128630705356314,0.03206997084548105,bear,123
Sockeye,0.0,0.0,0.0,bear,123
Pink,0.1402819629781442,0.1783783783774142,0.7857142857142857,bear,123
Whitefish,0.1980198019781353,0.8196721311408224,0.1984126984126984,bear,123
Chinook,0.11410480768893198,0.12513601741009234,0.5324074074074074,bear,123
Shiner,0.3162619998921268,0.9529914529894167,0.3194842406876791,bear,123
Pikeminnow,0.8024698371882392,0.6627450980387826,0.9037433155080213,bear,123
Chum,0.0,0.0,0.0,bear,123
Steelhead,0.0,0.0,0.0,bear,123
Lamprey,0.8240640048093762,0.8347826086883932,0.8421052631578947,bear,123
Cutthroat,0.5087903020699626,0.9230769230414201,0.5217391304347826,bear,123
all,0.30224592095045016,0.35159817351592226,0.3596885813148166,bear,456
Coho,0.03693384413702622,0.2564935064930901,0.1349274124679761,bear,456
Bull,0.9989577904971226,0.9655172413626636,1.0,bear,456
Rainbow,0.015210250993811852,0.10984848484806876,0.04482225656877898,bear,456
Sockeye,0.0,0.0,0.0,bear,456
Pink,0.13169327136728123,0.16751269035447963,0.7857142857142857,bear,456
Whitefish,0.16747444565182124,0.8207547169733891,0.16827852998065765,bear,456
Chinook,0.10981140100029135,0.1407407407405918,0.5473251028806584,bear,456
Shiner,0.3253985374284015,0.9271255060709978,0.32390381895332393,bear,456
Pikeminnow,0.7743948369512125,0.6502590673570918,0.8869257950530035,bear,456
Chum,0.0,0.0,0.0,bear,456
Steelhead,0.0,0.0,0.0,bear,456
Lamprey,0.8453621983119947,0.8738738738660011,0.8660714285714286,bear,456
Cutthroat,0.5239603960168892,0.9599999999616,0.5217391304347826,bear,456
